Event,Timestamp,Score
green,3.401068925857544,0
green,0.6495201587677002,1
yellow,0.4391050338745117,1
green,1.6693320274353027,2
yellow,0.5122420787811279,2
red,0.43778109550476074,2
green,0.9243028163909912,3
yellow,0.5065479278564453,3
red,0.6118800640106201,3
blue,0.4447469711303711,3
green,0.7863118648529053,4
yellow,0.441011905670166,4
red,0.5779299736022949,4
blue,0.4395272731781006,4
green,0.6794359683990479,4
green,1.2626042366027832,5
yellow,0.5086808204650879,5
red,0.47493505477905273,5
blue,0.4426560401916504,5
green,1.253279209136963,5
yellow,0.5057859420776367,5
green,1.5321199893951416,6
yellow,0.6138231754302979,6
red,1.0835928916931152,6
blue,0.7452318668365479,6
green,0.7451510429382324,6
yellow,0.5068938732147217,6
green,1.8027868270874023,6
green,1.9383208751678467,7
yellow,0.5079498291015625,7
red,0.5734140872955322,7
blue,0.7815077304840088,7
green,2.682427167892456,7
yellow,0.5763208866119385,7
green,0.7151370048522949,7
yellow,0.8137569427490234,7
green,1.3963828086853027,8
yellow,0.64593505859375,8
red,0.7793459892272949,8
blue,0.7486579418182373,8
green,0.5791468620300293,8
yellow,0.6435558795928955,8
green,0.6085877418518066,8
yellow,0.880403995513916,8
yellow,0.6446678638458252,8
green,2.175813913345337,9
yellow,1.2215831279754639,9
red,0.6795740127563477,9
blue,1.0198898315429688,9
green,2.346421957015991,9
yellow,0.5729327201843262,9
green,0.6090941429138184,9
yellow,0.8103988170623779,9
yellow,4.4122278690338135,9
blue,0.7152090072631836,9
green,3.1303892135620117,10
yellow,0.5428850650787354,10
red,0.5113711357116699,10
blue,0.6093788146972656,10
green,0.6453948020935059,10
yellow,0.5113332271575928,10
green,0.5762410163879395,10
yellow,0.6785340309143066,10
yellow,2.4070868492126465,10
blue,0.7797009944915771,10
blue,0.8131520748138428,10
green,1.6295371055603027,11
yellow,0.8439149856567383,11
red,0.4783046245574951,11
blue,0.7429752349853516,11
green,1.5261859893798828,11
yellow,0.6453149318695068,11
green,0.6082289218902588,11
yellow,0.7836229801177979,11
yellow,0.6453151702880859,11
blue,0.7796518802642822,11
blue,0.6475262641906738,11
green,1.1883268356323242,11
green,2.5869901180267334,12
yellow,1.5244460105895996,12
red,0.5428438186645508,12
blue,0.5753309726715088,12
green,0.5415380001068115,12
yellow,0.5793218612670898,12
green,0.5430698394775391,12
yellow,0.6441841125488281,12
yellow,0.6121377944946289,12
blue,0.7802948951721191,12
blue,0.780158281326294,12
green,2.030751943588257,12
blue,1.7308080196380615,12
green,3.166386842727661,13
yellow,0.5399069786071777,13
red,0.6126737594604492,13
blue,1.186187982559204,13
green,0.5801198482513428,13
yellow,0.5765130519866943,13
green,0.5763890743255615,13
yellow,0.711637020111084,13
yellow,0.7131400108337402,13
blue,0.7139079570770264,13
blue,0.6451709270477295,13
green,0.8114261627197266,13
blue,0.7132883071899414,13
yellow,1.1178827285766602,13
green,2.9618849754333496,14
yellow,0.6794238090515137,14
red,0.8457911014556885,14
blue,0.9136838912963867,14
green,0.8810431957244873,14
yellow,0.5439891815185547,14
green,0.5436728000640869,14
yellow,0.6440272331237793,14
yellow,0.5755929946899414,14
blue,0.7452681064605713,14
blue,0.6780149936676025,14
green,0.7487821578979492,14
blue,0.8829421997070312,14
yellow,0.810377836227417,14
yellow,0.7126109600067139,14
green,1.8428921699523926,15
yellow,0.7462191581726074,15
