Event,Timestamp,Score,Correct
blue,1.3334569931030273,0,True
blue,0.9563629627227783,1,True
red,0.6771612167358398,1,True
blue,0.960273027420044,2,True
red,0.6807548999786377,2,True
yellow,0.6084640026092529,2,True
blue,0.9237120151519775,3,True
red,0.544313907623291,3,True
yellow,0.5775701999664307,3,True
red,0.5387082099914551,3,True
blue,1.0294430255889893,4,True
red,0.5446789264678955,4,True
yellow,0.6055159568786621,4,True
red,0.5096042156219482,4,True
blue,0.5429317951202393,4,True
blue,0.8575029373168945,5,True
red,0.506788969039917,5,True
yellow,0.682415246963501,5,True
red,0.581571102142334,5,True
blue,0.5778040885925293,5,True
green,0.5110540390014648,5,True
blue,1.060882806777954,6,True
red,0.5433170795440674,6,True
yellow,0.5769290924072266,6,True
red,0.5410082340240479,6,True
blue,0.5080440044403076,6,True
green,0.6135478019714355,6,True
green,1.7040331363677979,6,True
blue,1.0577940940856934,7,True
red,0.6099507808685303,7,True
yellow,0.6468977928161621,7,True
red,0.6123147010803223,7,True
blue,0.6100730895996094,7,True
green,0.6493010520935059,7,True
green,0.5756630897521973,7,True
yellow,0.7113959789276123,7,True
blue,0.9221959114074707,8,True
red,0.6123230457305908,8,True
yellow,0.5791752338409424,8,True
red,0.6435017585754395,8,True
blue,0.6768219470977783,8,True
green,0.6104681491851807,8,True
green,0.607914924621582,8,True
yellow,0.6772830486297607,8,True
blue,0.5429282188415527,8,True
blue,0.7561178207397461,9,True
red,0.6090288162231445,9,True
yellow,0.7103862762451172,9,True
red,0.6774189472198486,9,True
blue,0.6118819713592529,9,True
green,0.6777670383453369,9,True
green,0.6441972255706787,9,True
blue,1.4945368766784668,9,False
red,2.3184502124786377,0,True
