Event,Timestamp,Score,Correct
green,3.7734570503234863,0,TRUE
green,0.7912881374359131,1,TRUE
green,0.44124317169189453,1,TRUE
green,0.4113771915435791,2,TRUE
green,0.507127047,2,TRUE
red,0.44588375091552734,2,TRUE
green,0.4534268379211426,3,TRUE
green,0.4741811752319336,3,TRUE
red,0.439159632,3,TRUE
blue,0.4399220943450928,3,TRUE
green,0.5857090950012207,4,TRUE
green,0.441558838,4,TRUE
red,0.4424741268157959,4,TRUE
blue,0.4761507511138916,4,TRUE
green,0.5088350772857666,4,TRUE
green,0.6163878440856934,5,TRUE
green,0.5450313091278076,5,TRUE
red,0.5411839485168457,5,TRUE
blue,0.5065288543701172,5,TRUE
green,0.47551918029785156,5,TRUE
red,0.6089260578155518,5,TRUE
green,1.1944749355316162,6,TRUE
green,0.47512292861938477,6,TRUE
red,0.509030819,6,TRUE
blue,0.5435500144958496,6,TRUE
green,0.51009202,6,TRUE
red,0.5082690715789795,6,TRUE
green,0.5438530445098877,6,TRUE
green,0.5923449993133545,7,TRUE
green,0.5396819114685059,7,TRUE
red,0.5100739002227783,7,TRUE
blue,0.4738748073577881,7,TRUE
green,0.5066900253295898,7,TRUE
red,0.5375320911407471,7,TRUE
green,0.5422351360321045,7,TRUE
yellow,0.6102280616760254,7,TRUE
green,0.6187479496002197,8,TRUE
green,0.4425058364868164,8,TRUE
red,0.43962693214416504,8,TRUE
blue,0.4409799575805664,8,TRUE
green,0.4748852252960205,8,TRUE
yellow,1.6309669017791748,8,FALSE
red,0.8247261047363281,0,TRUE
red,0.6524031162261963,1,TRUE
green,0.5418140888214111,1,TRUE
red,0.6544561386108398,2,TRUE
green,0.44132399559020996,2,TRUE
red,0.4399869441986084,2,TRUE
red,0.6208529472351074,3,TRUE
green,0.47166991233825684,3,TRUE
red,0.5083959102630615,3,TRUE
red,0.4739110469818115,3,TRUE
red,0.6179039478302002,4,TRUE
green,0.5093319416046143,4,TRUE
red,0.5144450664520264,4,TRUE
red,0.5422041416168213,4,TRUE
blue,0.4725062847137451,4,TRUE
red,0.4099998474121094,5,TRUE
red,3.576458215713501,5,FALSE
,,,
,,,
,,,
