Event,Timestamp,Score,Correct
yellow,2.156244993209839,0,True
yellow,0.6686358451843262,1,True
red,0.5724852085113525,1,True
yellow,0.841439962387085,2,True
red,0.6062870025634766,2,True
blue,0.47078990936279297,2,True
yellow,0.9666900634765625,3,True
red,0.46674203872680664,3,True
blue,0.5328409671783447,3,True
blue,0.4720320701599121,3,True
yellow,0.8391180038452148,4,True
red,0.636023998260498,4,True
blue,0.6337180137634277,4,True
blue,0.5362999439239502,4,True
red,0.5668661594390869,4,True
yellow,0.972243070602417,5,True
red,0.5660080909729004,5,True
blue,0.6023128032684326,5,True
blue,0.5388998985290527,5,True
red,0.6004509925842285,5,True
blue,0.5724799633026123,5,True
yellow,0.970883846282959,6,True
red,0.6035139560699463,6,True
blue,0.6380350589752197,6,True
blue,0.5033218860626221,6,True
red,0.5719552040100098,6,True
blue,0.5731959342956543,6,True
yellow,0.5740230083465576,6,True
yellow,1.0798132419586182,7,True
red,0.5665709972381592,7,True
blue,0.6361169815063477,7,True
blue,0.5359110832214355,7,True
red,0.6025040149688721,7,True
blue,0.6071271896362305,7,True
yellow,0.571753978729248,7,True
red,0.5330929756164551,7,True
yellow,2.7497880458831787,8,True
red,0.5997889041900635,8,True
blue,0.6412782669067383,8,True
blue,0.5319039821624756,8,True
red,0.6369280815124512,8,True
blue,0.6018600463867188,8,True
yellow,0.6380569934844971,8,True
red,0.568483829498291,8,True
yellow,0.5736138820648193,8,True
yellow,1.6523377895355225,9,True
red,0.6336331367492676,9,True
blue,0.6342301368713379,9,True
blue,0.641211986541748,9,True
yellow,1.502324104309082,9,False
yellow,1.1140568256378174,0,True
yellow,0.9785428047180176,1,True
red,0.5656471252441406,1,True
yellow,1.0429158210754395,2,True
red,0.5726640224456787,2,True
red,0.5377380847930908,2,True
yellow,1.038403034210205,3,True
red,0.6417567729949951,3,True
red,0.5375490188598633,3,True
yellow,0.6062121391296387,3,True
yellow,1.0741639137268066,4,True
red,0.8728733062744141,4,True
red,0.6732490062713623,4,True
yellow,0.6380119323730469,4,True
yellow,0.5037500858306885,4,True
yellow,1.415804147720337,5,True
red,0.6731729507446289,5,True
red,0.5690579414367676,5,True
yellow,0.5665619373321533,5,True
yellow,0.6045968532562256,5,True
yellow,0.6086621284484863,5,True
yellow,1.5822968482971191,6,True
red,0.671550989151001,6,True
red,0.5716958045959473,6,True
yellow,0.6393048763275146,6,True
yellow,0.6373429298400879,6,True
yellow,0.6051080226898193,6,True
red,0.6020441055297852,6,True
yellow,1.272212028503418,7,True
red,0.6370558738708496,7,True
yellow,1.515028953552246,7,False
