Event,Timestamp,Score
yellow,0.5510060787200928,0
yellow,1.533369779586792,1
red,0.6471619606018066,1
yellow,1.064194917678833,2
red,0.541079044342041,2
blue,0.4767301082611084,2
yellow,0.8573336601257324,3
red,0.47583508491516113,3
blue,0.4745512008666992,3
yellow,0.54374098777771,3
yellow,0.9528748989105225,4
red,0.5762207508087158,4
blue,0.4743030071258545,4
yellow,0.5437135696411133,4
yellow,0.4739351272583008,4
yellow,0.8290929794311523,5
red,0.5083513259887695,5
blue,0.542344331741333,5
yellow,0.5435009002685547,5
yellow,0.47565674781799316,5
blue,0.5416769981384277,5
yellow,0.9516620635986328,6
red,0.5429091453552246,6
blue,0.5436708927154541,6
yellow,0.5078930854797363,6
yellow,0.4785759449005127,6
blue,0.5082828998565674,6
blue,0.4384887218475342,6
yellow,0.8243839740753174,7
red,0.5777459144592285,7
blue,0.5763411521911621,7
yellow,0.6115200519561768,7
yellow,0.5453610420227051,7
blue,0.6078720092773438,7
blue,0.5420598983764648,7
blue,0.5440492630004883,7
yellow,0.9572012424468994,8
red,0.6037418842315674,8
blue,0.5469710826873779,8
yellow,0.5428950786590576,8
yellow,0.5111660957336426,8
blue,0.5743680000305176,8
blue,0.4757869243621826,8
blue,0.5451939105987549,8
blue,0.5084168910980225,8
yellow,1.1227657794952393,9
red,0.5764467716217041,9
blue,0.850477933883667,9
yellow,0.7129378318786621,9
yellow,0.641453742980957,9
