Event,Timestamp,Score,Correct
yellow,2.786633253097534,0,True
yellow,1.263049840927124,1,True
yellow,0.6766378879547119,1,True
yellow,0.9243667125701904,2,True
yellow,0.6424062252044678,2,True
yellow,0.7083051204681396,2,True
yellow,1.257072925567627,3,True
yellow,0.643031120300293,3,True
yellow,0.642935037612915,3,True
green,0.5721919536590576,3,True
yellow,1.1268999576568604,4,True
yellow,0.6433329582214355,4,True
yellow,0.6433372497558594,4,True
green,0.7070820331573486,4,True
yellow,0.709449052810669,4,True
yellow,1.016434907913208,5,True
yellow,0.6405782699584961,5,True
yellow,0.6760551929473877,5,True
green,0.6449830532073975,5,True
yellow,0.778428316116333,5,True
green,0.7784450054168701,5,True
yellow,1.0557587146759033,6,True
yellow,0.6418609619140625,6,True
yellow,0.6759438514709473,6,True
green,0.6070358753204346,6,True
yellow,0.7099499702453613,6,True
green,0.7449221611022949,6,True
blue,0.6427979469299316,6,True
yellow,1.4936959743499756,7,True
yellow,0.5760219097137451,7,True
yellow,0.6095919609069824,7,True
green,0.5754871368408203,7,True
yellow,0.6740899085998535,7,True
green,0.7726290225982666,7,True
blue,0.843156099319458,7,True
yellow,0.7744359970092773,7,True
yellow,1.2269878387451172,8,True
yellow,0.6761367321014404,8,True
yellow,0.6759870052337646,8,True
green,0.5739011764526367,8,True
yellow,0.6449909210205078,8,True
green,0.7441887855529785,8,True
blue,0.6749141216278076,8,True
yellow,0.7449719905853271,8,True
blue,0.7475199699401855,8,True
yellow,1.0221710205078125,9,True
yellow,0.6428391933441162,9,True
yellow,0.6089692115783691,9,True
green,0.879906177520752,9,True
blue,2.064601182937622,9,False
red,2.3103837966918945,0,True
red,0.7542369365692139,1,True
yellow,0.6413249969482422,1,True
red,0.7527790069580078,2,True
yellow,0.6089367866516113,2,True
green,0.5063560009002686,2,True
red,0.7830357551574707,3,True
yellow,0.6104280948638916,3,True
green,0.5093560218811035,3,True
yellow,0.5738670825958252,3,True
red,0.8217658996582031,4,True
yellow,0.6066861152648926,4,True
green,0.6409337520599365,4,True
yellow,0.5740621089935303,4,True
green,0.6082577705383301,4,True
red,1.09139084815979,5,True
yellow,0.6757681369781494,5,True
green,0.6069319248199463,5,True
yellow,0.7121281623840332,5,True
green,0.7431139945983887,5,True
blue,0.6783339977264404,5,True
red,1.0208868980407715,6,True
yellow,0.7094759941101074,6,True
green,0.6410071849822998,6,True
yellow,0.6787998676300049,6,True
green,0.6746690273284912,6,True
blue,0.6456451416015625,6,True
green,0.7098188400268555,6,True
red,1.2318949699401855,7,True
yellow,0.6440811157226562,7,True
green,0.5747058391571045,7,True
yellow,0.6746938228607178,7,True
green,0.7117950916290283,7,True
yellow,1.4875431060791016,7,False
red,2.521775960922241,0,True
red,1.9004008769989014,1,True
green,0.43718981742858887,1,True
red,0.5810849666595459,2,True
green,0.5757308006286621,2,True
yellow,0.6087079048156738,2,True
red,0.6828198432922363,3,True
green,0.5039370059967041,3,True
yellow,0.540524959564209,3,True
green,0.6071269512176514,3,True
red,1.0232717990875244,4,True
green,0.6448359489440918,4,True
yellow,0.5759789943695068,4,True
green,0.7414300441741943,4,True
green,0.64249587059021,4,True
red,1.158236026763916,5,True
green,0.6462447643280029,5,True
yellow,0.5761642456054688,5,True
green,0.7757248878479004,5,True
green,0.7089762687683105,5,True
green,0.6453719139099121,5,True
red,0.9545459747314453,6,True
yellow,1.5554161071777344,6,False
green,8.853899002075195,0,True
green,0.7858450412750244,1,True
blue,0.5425639152526855,1,True
green,1.0503618717193604,2,True
blue,0.4734971523284912,2,True
yellow,0.47622013092041016,2,True
green,0.9854867458343506,3,True
blue,0.5746092796325684,3,True
yellow,0.5065772533416748,3,True
blue,0.5423059463500977,3,True
green,1.026015043258667,4,True
blue,0.6060879230499268,4,True
yellow,0.5773711204528809,4,True
blue,0.5062332153320312,4,True
green,0.5058519840240479,4,True
green,0.7521209716796875,5,True
blue,0.5694620609283447,5,True
yellow,0.5399689674377441,5,True
blue,0.573491096496582,5,True
green,0.6419649124145508,5,True
green,2.4750609397888184,5,True
green,1.2283942699432373,6,True
blue,0.5771598815917969,6,True
yellow,0.6439759731292725,6,True
blue,0.6075057983398438,6,True
green,0.681178092956543,6,True
green,0.6409542560577393,6,True
green,0.537743091583252,6,True
green,1.055985927581787,7,True
blue,0.6092689037322998,7,True
yellow,0.5430891513824463,7,True
blue,0.5724208354949951,7,True
green,0.7459440231323242,7,True
green,0.6410989761352539,7,True
green,0.5751757621765137,7,True
blue,0.6083879470825195,7,True
green,1.2247300148010254,8,True
blue,0.506058931350708,8,True
yellow,0.5781409740447998,8,True
blue,0.5405282974243164,8,True
green,0.6753230094909668,8,True
green,0.5748460292816162,8,True
green,0.5771141052246094,8,True
red,1.3230578899383545,8,False
red,13.76514482498169,0,True
red,1.3282041549682617,1,True
red,0.4401841163635254,1,True
red,0.8170590400695801,2,True
red,0.5085000991821289,2,True
green,0.47098207473754883,2,True
red,0.7500689029693604,3,True
red,0.4400980472564697,3,True
green,0.4754180908203125,3,True
blue,0.46972012519836426,3,True
red,0.8905258178710938,4,True
red,0.44101500511169434,4,True
green,0.5390591621398926,4,True
blue,0.5068399906158447,4,True
