Event,Timestamp,Score,Correct
blue,1.2088820934295654,0,True
blue,1.6686630249023438,1,True
red,0.7420089244842529,1,True
blue,1.9341840744018555,2,True
red,0.632575273513794,2,True
green,0.5661478042602539,2,True
blue,1.447166919708252,3,True
red,0.6024208068847656,3,True
green,0.5989410877227783,3,True
yellow,0.6732387542724609,3,True
blue,1.1060571670532227,4,True
red,0.5993459224700928,4,True
green,0.6358611583709717,4,True
yellow,0.6717188358306885,4,True
red,0.5340731143951416,4,True
blue,1.8135790824890137,5,True
red,0.6018719673156738,5,True
green,0.6771581172943115,5,True
yellow,0.665398120880127,5,True
red,0.6635122299194336,5,True
red,0.6007299423217773,5,True
blue,1.5450770854949951,6,True
red,0.6686539649963379,6,True
green,0.6329879760742188,6,True
yellow,0.7002859115600586,6,True
red,0.6615428924560547,6,True
red,0.5664541721343994,6,True
blue,0.6364989280700684,6,True
blue,1.6102879047393799,7,True
red,0.674464225769043,7,True
green,0.7636518478393555,7,True
yellow,0.7063331604003906,7,True
red,0.6683740615844727,7,True
red,0.6343979835510254,7,True
blue,0.6376760005950928,7,True
yellow,0.6379430294036865,7,True
blue,1.3037822246551514,8,True
red,0.6347010135650635,8,True
green,0.9048161506652832,8,True
yellow,0.6683449745178223,8,True
red,0.6992390155792236,8,True
red,0.6632449626922607,8,True
blue,0.730043888092041,8,True
yellow,0.6639959812164307,8,True
green,0.6354870796203613,8,True
red,7.172991991043091,9,False
yellow,7.970948934555054,0,True
yellow,1.1438672542572021,1,True
blue,0.6058640480041504,1,True
yellow,1.142543077468872,2,True
blue,0.565385103225708,2,True
red,0.565079927444458,2,True
yellow,1.0432920455932617,3,True
blue,0.5629148483276367,3,True
red,0.5346329212188721,3,True
blue,0.5697760581970215,3,True
yellow,1.543590784072876,4,True
blue,0.6040208339691162,4,True
red,0.5716228485107422,4,True
blue,0.6336560249328613,4,True
red,0.600010871887207,4,True
yellow,2.722809076309204,5,True
blue,0.6398489475250244,5,True
red,0.6711649894714355,5,True
blue,0.6753799915313721,5,True
red,0.7679879665374756,5,True
blue,0.6700630187988281,5,True
yellow,1.610584020614624,6,True
blue,0.6035037040710449,6,True
red,0.6341841220855713,6,True
blue,0.6710710525512695,6,True
red,0.6373159885406494,6,True
blue,0.635901927947998,6,True
yellow,0.6332530975341797,6,True
yellow,1.3661069869995117,7,True
blue,0.6326079368591309,7,True
red,0.5737080574035645,7,True
blue,0.63580322265625,7,True
red,0.7393107414245605,7,True
blue,0.8650259971618652,7,True
yellow,0.8701491355895996,7,True
red,0.6034669876098633,7,True
blue,7.579535961151123,8,False
